name,job_title,email_address,phone,organization,organization_phone,domain,street,city,state,zip
Jeremiah Marvin,Accounting Specialist,jmarvin@ancro.co,(708) 312-4880,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Joseph Flatley,Advertising Analyst,jflatley@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Minnie Mayert,National Consulting Planner,mmayert@ancro.co,661.561.8322,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Heather Lubowitz,District Advertising Consultant,hlubowitz@ancro.co,509-804-8947,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Giuseppe Bergnaum,National Planner,gbergnaum@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Tam McGlynn,Marketing Technician,tmcglynn@ancro.co,3206267809,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Valerie Steuber,Real-Estate Coordinator,vsteuber@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Emmitt Block,Manufacturing Director,eblock@ancro.co,9205615728,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Marcelo Abernathy,Construction Supervisor,mabernathy@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Vicenta Oberbrunner,Corporate Farming Designer,voberbrunner@ancro.co,720-713-7208,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Gabriel Huels,Retail Architect,ghuels@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Brittany Rowe,Consulting Architect,browe@ancro.co,(312) 737-6825,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Pete Friesen,Direct Planner,pfriesen@ancro.co,9086149444,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Marcelle Funk,Chief Administrator,mfunk@ancro.co,412-650-0992 x7546,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Aurore Rodriguez,Customer Retail Producer,arodriguez@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Kitty Wiza,Dynamic Developer,kwiza@ancro.co,7086193673,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Lamar Schiller,Central Marketing Agent,lschiller@ancro.co,513 571-5098,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Tamika Predovic,Government Associate,tpredovic@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Tereasa Heidenreich,Future Officer,theidenreich@ancro.co,6073340061,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Elisha Goldner,Future Advertising Facilitator,egoldner@ancro.co,518 650-6645,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Zina Schmitt,National Hospitality Architect,zschmitt@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Jerrell Murazik,Hospitality Representative,jmurazik@ancro.co,,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Anne Braun,International Retail Manager,abraun@ancro.co,7744082228,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Ilene Wolff,IT Specialist,iwolff@ancro.co,765.563.1549,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Joseph Herman,Product Accounting Associate,jherman@ancro.co,6064029064,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Reyes Davis,Sales Agent,rdavis@ancro.co,217 212-1802,Ankunding-Cronin,408-520-6052,ancro.co,43251 Gerald Unions,East Cecil,MA,89977-0416
Deon Boehm,National Associate,deon.boehm@greennader.info,8485170843,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Davis Cole,Education Orchestrator,davis.cole@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Bradford Terry,Forward Advertising Technician,bradford.terry@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Christiane Lueilwitz,Future Healthcare Administrator,christiane.lueilwitz@greennader.info,907.256.9705,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Tania Schultz,Corporate Consulting Architect,tania.schultz@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Rozella Beer,Internal Sales Agent,rozella.beer@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Coleman Grady,Administration Planner,coleman.grady@greennader.info,9186623231,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Steven Erdman,Manufacturing Developer,steven.erdman@greennader.info,9365622153,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Page Lakin,Future Banking Executive,page.lakin@greennader.info,254-835-8494 x1474,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Chantay Pollich,Investor Officer,chantay.pollich@greennader.info,256 920-9066,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Reid Ruecker,Marketing Analyst,reid.ruecker@greennader.info,321-225-0525,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Dudley Gaylord,Forward Advertising Manager,dudley.gaylord@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Corene Gleason,Technology Analyst,corene.gleason@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Michel Hilpert,Principal Analyst,michel.hilpert@greennader.info,706-959-0566 x7130,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Jerald Senger,Design Planner,jerald.senger@greennader.info,501 912-2233,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Carmine Purdy,Dynamic Sales Consultant,carmine.purdy@greennader.info,502-409-0973,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Daron Torphy,Technology Director,daron.torphy@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Lori Gutkowski,Advertising Engineer,lori.gutkowski@greennader.info,775 847-5444,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Nick Stiedemann,Product Banking Producer,nick.stiedemann@greennader.info,845 914-6649,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Erin Fisher,Government Orchestrator,erin.fisher@greennader.info,2086170280,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Erlene Crist,Senior Technology Coordinator,erlene.crist@greennader.info,414.423.5154,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Gary Rowe,Hospitality Orchestrator,gary.rowe@greennader.info,785 435-3206,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Berry Greenholt,Advertising Specialist,berry.greenholt@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Loreta Schimmel,Global Sales Consultant,loreta.schimmel@greennader.info,404 630-1901,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Therese Daniel,Banking Manager,therese.daniel@greennader.info,478-574-8997,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Lachelle Hudson,Customer Retail Developer,lachelle.hudson@greennader.info,(843) 947-6497,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Cameron Brekke,Banking Executive,cameron.brekke@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Hugo Lakin,Marketing Facilitator,hugo.lakin@greennader.info,3303054580,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Kary Ziemann,Administration Agent,kary.ziemann@greennader.info,2816159869,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Marvel Bernhard,Human Consulting Supervisor,marvel.bernhard@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Judson Prohaska,Consulting Technician,judson.prohaska@greennader.info,(512) 407-1974,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Rashad Corwin,Legacy Manufacturing Coordinator,rashad.corwin@greennader.info,203 228-6741,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Jarrett Wilkinson,Product Real-Estate Representative,jarrett.wilkinson@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Jillian Brakus,Product Administration Specialist,jillian.brakus@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Cathern Doyle,Customer Sales Architect,cathern.doyle@greennader.info,(308) 256-4212,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Macie Schulist,Central Education Engineer,macie.schulist@greennader.info,814 915-4708,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Raven Sawayn,Mining Facilitator,raven.sawayn@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Latanya Jakubowski,Mining Executive,latanya.jakubowski@greennader.info,936 954-0425,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Reyes Gorczany,Direct IT Specialist,reyes.gorczany@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Nina Glover,Corporate Education Specialist,nina.glover@greennader.info,8126629643,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Chuck Kassulke,Administration Analyst,chuck.kassulke@greennader.info,878 667-5098,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Viva Kreiger,Sales Supervisor,viva.kreiger@greennader.info,(305) 323-6547 x5368,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Sarina Medhurst,Human Accounting Planner,sarina.medhurst@greennader.info,772-973-1949,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Patti Dare,Legacy Design Officer,patti.dare@greennader.info,,Ankunding-Fahey,217 618-0437,greennader.info,9362 Leandro Spring,Chrisview,ME,10226-4200
Hal Abshire,Marketing Developer,habshire@auer.co,5748487627,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Ivan Franecki,Manufacturing Architect,ifranecki@auer.co,410 254-8741,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Candyce Koelpin,Regional Administrator,ckoelpin@auer.co,219 773-6488,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Boyce Shanahan,Senior Marketing Facilitator,bshanahan@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Karl Reichert,Chief IT Engineer,kreichert@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Ali Hegmann,Construction Specialist,ahegmann@auer.co,5309890949,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Clement Reynolds,Chief Accounting Director,creynolds@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Shakita Kshlerin,Internal Director,skshlerin@auer.co,541-207-5175,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Emiko Littel,Education Developer,elittel@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Nohemi Cole,Direct Government Designer,ncole@auer.co,434.478.3123,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Marshall Boyle,Regional Farming Consultant,mboyle@auer.co,(360) 732-9344 x6094,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Normand Boehm,Product Retail Designer,nboehm@auer.co,226.928.7397 x0761,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Ralph Grimes,Senior Farming Consultant,rgrimes@auer.co,914 469-6274,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Son Jacobson,Future Mining Assistant,sjacobson@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Alexis Steuber,Human Director,asteuber@auer.co,859-586-4926,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Mel Walker,Senior Mining Designer,mwalker@auer.co,(508) 713-5165 x7960,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Jayme Hickle,Principal Strategist,jhickle@auer.co,310 614-1127,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Josh Ferry,Farming Planner,jferry@auer.co,612 228-9094,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Vera Gusikowski,Education Manager,vgusikowski@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Letitia Reinger,Marketing Administrator,lreinger@auer.co,947 562-9684,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Tammy Heathcote,Legal Architect,theathcote@auer.co,352 209-9807,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Randell Pagac,Community-Services Architect,rpagac@auer.co,830-518-0575,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Shannon Brown,Consulting Representative,sbrown@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Shaun Rohan,Product Consultant,srohan@auer.co,9569147541,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Calvin Erdman,Internal Banking Manager,cerdman@auer.co,703 724-0525,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Penelope Raynor,Legacy Mining Developer,praynor@auer.co,,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Tony Moen,Education Supervisor,tmoen@auer.co,919 313-5732,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Arleen Jenkins,Dynamic Engineer,ajenkins@auer.co,231 270-7547,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Vallie Dach,Administration Technician,vdach@auer.co,972 985-1283,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Yulanda Wisoky,Mining Executive,ywisoky@auer.co,254 518-1197,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Tamatha Dach,Human Representative,tdach@auer.co,760 513-2407,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Ben Grimes,Administration Technician,bgrimes@auer.co,6517141257,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Consuelo Cummings,Human Design Liaison,ccummings@auer.co,5072698787,Auer-Williamson,(734) 714-3254,auer.co,48395 Edward Unions,North Hal,NC,14419-0693
Elnora Jacobson,Hospitality Developer,elnora.jacobson@bahringer.co,720 557-7342,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Chung Block,Principal Sales Coordinator,chung.block@bahringer.co,318-904-2893,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Ouida Champlin,National Community-Services Planner,ouida.champlin@bahringer.co,207 469-0819,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Ricky Macejkovic,Lead Government Agent,ricky.macejkovic@bahringer.co,906 502-2556,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Tomiko Bartell,Chief Education Assistant,tomiko.bartell@bahringer.co,6517135972,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Lorelei Hintz,Global Government Strategist,lorelei.hintz@bahringer.co,,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Candis Grady,Real-Estate Strategist,candis.grady@bahringer.co,,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Hipolito Hegmann,Central Mining Technician,hipolito.hegmann@bahringer.co,774-559-7974,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Kristle Olson,Advertising Designer,kristle.olson@bahringer.co,724.862.2267 x2271,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Raleigh Smitham,Dynamic Real-Estate Engineer,raleigh.smitham@bahringer.co,201 718-7002,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Berta Roberts,Forward Orchestrator,berta.roberts@bahringer.co,219 830-7091,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Laraine Treutel,Marketing Agent,laraine.treutel@bahringer.co,2533194128,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Clementine Keebler,Mining Associate,clementine.keebler@bahringer.co,201.351.7205 x9273,Bahringer-Cummerata,229.386.6119,bahringer.co,802 Wendell Estates,South Therese,North Carolina,82760-4914
Russ Donnelly,Central Legal Assistant,rdonnelly@bartell-buckridge.net,641 281-6465,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Joycelyn Kilback,Investor Manager,jkilback@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Silva Monahan,Government Producer,smonahan@bartell-buckridge.net,8084104423,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Lucille Hyatt,IT Associate,lhyatt@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Lawrence Durgan,National Advertising Officer,ldurgan@bartell-buckridge.net,303 331-8556,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Lovetta D'Amore,Sales Representative,ld'amore@bartell-buckridge.net,7177070160,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Alden Bogan,International Designer,abogan@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Issac Strosin,Future Associate,istrosin@bartell-buckridge.net,262-704-3185 x2700,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Esteban Robel,Principal Analyst,erobel@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Winifred Koelpin,Regional Hospitality Assistant,wkoelpin@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Clay Durgan,Principal Representative,cdurgan@bartell-buckridge.net,702-970-7942 x5077,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Kurtis Fay,Future Coordinator,kfay@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Alex Walter,Education Associate,awalter@bartell-buckridge.net,7195098177,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Asha Kshlerin,Farming Executive,akshlerin@bartell-buckridge.net,551-980-0270,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Verena Hilll,Customer Agent,vhilll@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Dawne Shanahan,Hospitality Technician,dshanahan@bartell-buckridge.net,7854258323,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Franchesca Barrows,Forward Marketing Officer,fbarrows@bartell-buckridge.net,585-916-9267,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Gayle Wintheiser,Direct Retail Consultant,gwintheiser@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Neta Kerluke,Design Planner,nkerluke@bartell-buckridge.net,,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Dusti Heller,Investor Marketing Architect,dheller@bartell-buckridge.net,209-212-1262,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
Harley O'Hara,Sales Facilitator,ho'hara@bartell-buckridge.net,786-914-3269,Bartell-Buckridge,586-701-9748,bartell-buckridge.net,1684 Olin Squares,East Nicole,Connecticut,17863-5927
